,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,mar del plata,ar,1561325581,-46.43,-67.52,47.27,56,26,16.84
89,leh,in,1561325668,34.16,77.58,32.4,51,100,5.21
90,nikolskoye,ru,1561325668,59.7,30.79,57.2,58,0,4.47
91,puerto escondido,mx,1561325669,15.86,-97.07,86.0,79,75,5.82
92,pilas,es,1561325669,37.3,-6.3,78.01,68,100,3.36
93,barrow,us,1561325669,39.51,-90.4,78.01,78,90,14.99
94,talnakh,ru,1561325670,69.49,88.39,42.8,87,0,4.47
95,lima,pe,1561325671,-12.06,-77.04,66.2,72,75,10.29
96,poum,nc,1561325671,-20.23,164.02,67.82,87,100,11.14
97,norsup,vu,1561325671,-16.07,167.38,75.2,94,75,3.36
98,saldanha,za,1561325672,-33.01,17.94,48.2,87,67,3.36
99,salalah,om,1561325672,17.01,54.1,84.2,89,75,8.05
100,guerrero negro,mx,1561325672,27.97,-114.04,63.31,80,33,11.86
101,filadelfia,py,1561325672,-22.35,-60.04,85.16,34,0,11.07
102,taoudenni,ml,1561325673,22.68,-3.98,97.36,8,0,9.89
103,myaundzha,ru,1561325674,63.05,147.18,54.02,59,93,4.38
104,monrovia,lr,1561325674,6.33,-10.8,77.0,94,75,14.52
105,port alfred,za,1561325675,-33.59,26.89,55.99,93,0,4.0
106,hofn,is,1561325675,64.25,-15.21,42.35,73,4,7.58
107,nicoya,cr,1561325675,10.15,-85.45,91.4,55,20,10.29
108,auki,sb,1561325676,-8.77,160.7,80.78,74,100,4.16
109,bluff,nz,1561325676,-46.6,168.33,48.0,90,100,8.01
110,severnoye,ru,1561325676,54.09,52.54,66.47,88,0,2.42
111,ouallam,ne,1561325677,14.32,2.08,98.95,23,0,4.09
112,san juan,ar,1561325677,-31.54,-68.53,64.64,25,0,4.5
113,champoton,mx,1561325678,19.35,-90.72,98.6,37,40,11.41
114,san pedro de macoris,do,1561325530,18.46,-69.3,89.6,59,75,9.17
115,soyo,ao,1561325415,-6.13,12.37,75.2,83,20,3.36
116,tabou,ci,1561325678,4.42,-7.36,74.84,89,100,6.98
117,raymond,ca,1561325679,49.47,-112.67,66.2,52,75,6.93
118,jinchang,cn,1561325679,38.52,102.19,64.66,47,13,6.24
119,lebu,cl,1561325679,-37.62,-73.65,54.13,80,0,10.42
120,cidreira,br,1561325680,-30.17,-50.22,69.34,75,43,5.37
121,bandarbeyla,so,1561325680,9.49,50.81,81.36,59,92,9.51
122,wynyard,ca,1561325680,51.77,-104.18,65.41,64,48,12.64
123,basco,ph,1561325681,20.45,121.97,85.36,81,100,11.81
124,mildura,au,1561325681,-34.18,142.16,30.2,100,0,5.82
125,catumbela,ao,1561325681,-12.43,13.55,68.38,86,63,4.81
126,geraldton,au,1561325681,-28.77,114.6,51.8,87,0,9.17
127,sinnamary,gf,1561325682,5.38,-52.96,81.54,80,17,13.24
128,luanda,ao,1561325682,-8.83,13.24,71.6,88,0,6.93
129,abu dhabi,ae,1561325632,24.47,54.37,95.0,50,0,4.7
130,great yarmouth,gb,1561325682,52.61,1.73,66.0,93,100,5.82
131,vao,nc,1561325704,-22.67,167.48,66.62,90,100,5.46
132,butaritari,ki,1561325704,3.07,172.79,80.08,85,100,9.42
133,mount pleasant,us,1561325704,32.79,-79.86,90.0,74,75,9.08
134,fallon,us,1561325705,46.84,-105.12,75.2,38,75,12.75
135,oxapampa,pe,1561325706,-10.58,-75.4,63.94,65,0,4.41
136,victoria,sc,1561325421,-4.62,55.45,80.6,78,20,9.17
137,tuktoyaktuk,ca,1561325706,69.44,-133.03,48.2,81,40,12.75
138,bambous virieux,mu,1561325707,-20.34,57.76,72.0,73,40,11.41
139,pisco,pe,1561325707,-13.71,-76.2,71.6,30,0,8.05
140,sistranda,no,1561325708,63.73,8.83,51.01,87,75,13.87
141,bonavista,ca,1561325708,48.65,-53.11,48.99,86,100,13.0
142,albany,au,1561325708,-35.02,117.88,50.0,93,40,10.29
143,baykit,ru,1561325708,61.68,96.39,58.99,60,52,3.42
144,beringovskiy,ru,1561325709,63.05,179.32,51.37,80,100,5.01
145,sao filipe,cv,1561325709,14.9,-24.5,73.6,79,2,17.2
146,ponta do sol,cv,1561325709,17.2,-25.09,75.2,73,20,18.34
147,kirksville,us,1561325626,40.19,-92.58,73.0,94,90,3.36
148,sterling,us,1561325710,39.0,-77.4,86.0,37,1,5.82
149,kungurtug,ru,1561325711,50.6,97.53,48.44,85,100,3.56
150,torbay,ca,1561325712,47.66,-52.73,50.0,93,90,29.97
151,ziro,in,1561325712,27.54,93.82,60.1,94,98,1.99
152,isangel,vu,1561325643,-19.55,169.27,71.6,94,90,20.85
153,tiksi,ru,1561325712,71.64,128.87,49.21,68,0,12.77
154,vestmannaeyjar,is,1561325712,63.44,-20.27,53.55,85,88,10.47
155,caiaponia,br,1561325713,-16.96,-51.81,70.2,50,0,3.0
156,nadym,ru,1561325714,65.53,72.51,56.52,64,100,16.46
157,roald,no,1561325715,62.58,6.12,52.0,81,40,1.12
158,nhulunbuy,au,1561325715,-12.18,136.78,69.8,68,0,11.41
159,vaini,to,1561325715,-21.2,-175.2,78.8,74,20,9.17
160,kaitangata,nz,1561325715,-46.28,169.85,48.0,77,97,5.01
161,nyuksenitsa,ru,1561325716,60.41,44.24,52.31,55,64,6.13
162,northam,au,1561325716,-31.65,116.67,55.4,87,90,5.82
163,majene,id,1561325716,-3.54,118.97,81.25,82,0,24.4
164,hilo,us,1561325716,19.71,-155.08,82.99,65,90,9.17
165,inuvik,ca,1561325440,68.36,-133.71,66.2,48,75,13.87
166,raudeberg,no,1561325717,61.99,5.14,55.4,76,20,11.41
167,cape town,za,1561325469,-33.93,18.42,54.0,100,0,4.7
168,berlevag,no,1561325717,70.86,29.09,42.8,81,0,1.12
169,hastings,gb,1561325718,50.86,0.58,70.0,88,100,11.41
170,san blas,mx,1561325718,21.54,-105.29,91.4,26,5,9.17
171,haines junction,ca,1561325719,60.75,-137.51,59.62,62,41,2.77
172,gondanglegi,id,1561325719,-7.75,112.01,67.45,95,21,4.63
173,saint-philippe,re,1561325719,-21.36,55.77,71.6,68,0,5.82
174,vanimo,pg,1561325720,-2.67,141.3,80.55,83,99,10.63
175,korhogo,ci,1561325720,9.46,-5.63,78.44,74,41,2.46
176,duku,ng,1561325720,11.24,4.91,86.92,50,1,8.57
177,christchurch,nz,1561325721,-43.53,172.64,45.0,75,26,8.05
178,paramonga,pe,1561325721,-10.68,-77.82,61.61,85,37,11.14
179,clyde river,ca,1561325722,70.47,-68.59,41.0,80,1,19.46
180,port macquarie,au,1561325722,-31.43,152.91,51.01,93,75,6.93
181,half moon bay,us,1561325509,37.46,-122.43,91.99,82,40,10.29
182,porto walter,br,1561325722,-8.27,-72.74,89.01,42,0,1.99
183,kragujevac,rs,1561325723,44.01,20.91,62.6,100,20,2.24
184,burgeo,ca,1561325723,47.61,-57.61,45.67,85,99,25.34
185,mount gambier,au,1561325723,-37.83,140.78,35.6,93,0,6.93
186,phalombe,mw,1561325724,-15.81,35.65,58.95,92,0,3.29
187,armacao de pera,pt,1561325728,37.1,-8.36,69.01,88,0,12.75
188,sangar,ru,1561325728,63.92,127.47,67.12,58,33,7.38
189,saint george,bm,1561325728,32.38,-64.68,79.0,57,40,12.75
190,senanga,zm,1561325729,-16.1,23.3,58.91,42,0,2.86
191,baruun-urt,mn,1561325729,46.68,113.28,65.56,66,54,5.23
192,mahebourg,mu,1561325729,-20.41,57.7,72.0,73,40,11.41
193,tanout,ne,1561325729,14.97,8.88,98.35,17,0,6.44
194,gizo,sb,1561325730,-8.1,156.84,81.43,80,25,8.03
195,pacific grove,us,1561325640,36.62,-121.92,93.99,60,1,8.05
196,hasaki,jp,1561325730,35.73,140.83,64.4,100,75,14.99
197,longyearbyen,sj,1561325731,78.22,15.64,46.4,75,0,3.36
198,moree,au,1561325731,-29.46,149.84,37.4,69,0,5.82
199,makakilo city,us,1561325731,21.35,-158.09,87.8,62,75,13.87
200,reinosa,es,1561325731,43.0,-4.14,66.99,77,40,4.7
201,west wendover,us,1561325732,40.74,-114.07,78.8,15,20,14.99
202,solwezi,zm,1561325732,-12.18,26.4,53.91,60,8,3.89
203,klaksvik,fo,1561325732,62.23,-6.59,50.0,81,0,4.7
204,khatanga,ru,1561325733,71.98,102.47,56.45,82,100,14.2
205,pingyin,cn,1561325733,36.28,116.45,78.23,39,100,9.98
206,kindersley,ca,1561325733,51.47,-109.16,64.0,72,75,14.99
207,saint-pierre,pm,1561325734,46.77,-56.17,48.2,87,75,31.09
208,olinda,br,1561325734,-22.82,-43.41,82.4,51,0,3.36
209,maceio,br,1561325567,-9.67,-35.74,73.4,83,20,1.12
210,campos novos,br,1561325735,-27.4,-51.22,61.13,90,0,2.91
211,luau,ao,1561325735,-10.71,22.22,60.8,40,68,3.18
212,lodja,cd,1561325736,-3.52,23.6,73.69,49,2,0.92
213,palmerston,au,1561325737,-12.49,130.99,62.6,27,0,8.05
214,brownsville,us,1561325737,25.91,-97.49,95.0,63,75,26.4
215,chuy,uy,1561325738,-33.69,-53.46,69.66,80,100,10.85
216,grindavik,is,1561325739,63.84,-22.43,54.0,81,75,6.93
217,pavia,it,1561325739,45.19,9.15,79.0,73,0,1.12
218,saint-augustin,ca,1561325739,45.63,-73.98,84.0,29,40,12.75
219,jacareacanga,br,1561325740,-6.22,-57.76,84.65,60,71,2.1
220,ust-charyshskaya pristan,ru,1561325740,52.39,83.67,45.09,94,67,10.71
221,dongsheng,cn,1561325740,29.72,112.52,69.66,85,53,2.46
222,aksarka,ru,1561325741,66.56,67.8,53.5,91,79,7.92
223,troitskoye,ru,1561325741,52.98,84.68,43.4,98,47,6.26
224,messina,za,1561325747,-22.35,30.04,61.97,40,0,8.79
225,balabac,ph,1561325747,7.99,117.06,79.92,82,100,4.0
226,kasongo-lunda,cd,1561325747,-6.48,16.82,67.18,39,0,2.77
227,nizhniy baskunchak,ru,1561325747,48.22,46.83,80.42,27,0,9.51
228,coolum beach,au,1561325748,-26.53,153.09,54.0,80,14,5.59
229,pakaur,in,1561325748,24.64,87.92,83.93,73,38,8.39
230,mokrousovo,ru,1561325748,55.81,66.77,60.53,97,33,5.73
231,tulsa,us,1561325749,36.16,-95.99,75.2,88,90,11.9
232,fairbanks,us,1561325749,64.84,-147.72,62.6,93,75,4.5
233,mitsamiouli,km,1561325749,-11.38,43.28,75.2,83,40,4.7
234,palu,id,1561325749,-0.9,119.87,73.21,91,0,3.24
235,vostok,ru,1561325749,46.45,135.83,59.9,93,100,2.08
236,naze,jp,1561325750,28.37,129.48,68.0,100,51,2.24
237,magdagachi,ru,1561325751,53.45,125.8,57.98,92,100,6.38
238,kangaatsiaq,gl,1561325751,68.31,-53.46,40.77,88,96,5.82
239,luderitz,na,1561325751,-26.65,15.16,60.8,38,0,3.36
240,port hedland,au,1561325751,-20.31,118.58,55.4,93,0,8.05
241,tura,ru,1561325752,64.27,100.22,61.38,60,67,3.11
242,leningradskiy,ru,1561325752,69.38,178.42,36.83,74,100,8.7
243,ancud,cl,1561325752,-41.87,-73.83,46.4,93,75,17.22
244,caravelas,br,1561325753,-17.73,-39.27,73.62,86,7,6.4
245,constitucion,mx,1561325753,23.99,-104.67,86.0,13,5,2.24
246,chitrakonda,in,1561325753,18.12,82.08,71.98,85,15,3.24
247,saint-joseph,re,1561325753,-21.37,55.62,71.6,68,0,5.82
248,grand-santi,gf,1561325754,4.27,-54.38,77.04,96,100,2.57
249,querecotillo,pe,1561325754,-4.84,-80.65,75.83,56,29,18.48
250,vila velha,br,1561325625,-3.71,-38.6,86.0,74,0,11.41
251,actopan,mx,1561325754,20.27,-98.94,78.28,48,32,12.53
252,esperance,au,1561325758,-33.86,121.89,50.0,93,21,13.87
253,bocaiuva,br,1561325758,-17.12,-43.81,73.4,56,75,9.17
254,port-cartier,ca,1561325758,50.03,-66.88,63.0,42,75,25.28
255,yerbogachen,ru,1561325758,61.28,108.01,57.04,60,58,1.54
256,yar-sale,ru,1561325759,66.83,70.83,52.88,75,100,13.04
257,portsoy,gb,1561325759,57.68,-2.69,60.8,51,0,9.17
258,margate,za,1561325535,-30.86,30.37,53.96,70,0,7.47
259,tuatapere,nz,1561325759,-46.13,167.69,48.0,90,100,8.01
260,campana,ar,1561325759,-34.16,-58.96,66.0,93,90,2.24
261,kataysk,ru,1561325760,56.29,62.58,63.05,96,0,8.03
262,yoichi,jp,1561325760,43.19,140.77,60.01,87,20,4.7
263,phitsanulok,th,1561325760,16.82,100.26,82.06,85,100,4.12
264,takaungu,ke,1561325760,-3.68,39.86,78.8,78,20,13.87
265,najran,sa,1561325761,17.54,44.22,80.6,15,5,2.3
266,namatanai,pg,1561325762,-3.66,152.44,79.42,76,79,3.04
267,nyeri,ke,1561325762,-0.42,36.95,51.79,93,98,2.68
268,severo-kurilsk,ru,1561325762,50.68,156.12,42.77,88,100,2.57
269,maracaju,br,1561325763,-21.61,-55.17,71.21,51,0,3.96
270,toora-khem,ru,1561325763,52.47,96.11,52.07,96,100,5.5
271,cheremukhovo,ru,1561325764,56.23,46.23,59.85,76,3,4.29
272,tazovskiy,ru,1561325765,67.47,78.7,47.47,65,29,14.65
273,provideniya,ru,1561325765,64.42,-173.23,44.6,81,90,4.36
274,ahipara,nz,1561325765,-35.17,173.16,58.79,79,28,24.94
275,abay,kz,1561325766,49.63,72.87,57.2,50,40,11.18
276,daru,pg,1561325766,-9.07,143.21,75.04,88,86,7.87
277,huarmey,pe,1561325766,-10.07,-78.15,63.14,85,4,12.97
278,general roca,ar,1561325766,-39.03,-67.58,59.0,44,0,8.05
279,coahuayana,mx,1561325767,18.62,-100.35,92.02,48,73,2.95
280,sulangan,ph,1561325768,11.14,123.72,83.25,71,64,4.59
281,chapadinha,br,1561325768,-3.74,-43.35,78.17,75,100,2.24
282,thompson,ca,1561325769,55.74,-97.86,64.4,77,75,5.82
283,encs,hu,1561325769,48.33,21.12,69.8,77,0,17.22
284,eureka,us,1561325485,40.8,-124.16,66.0,67,1,18.34
285,upington,za,1561325770,-28.46,21.24,44.6,45,0,2.95
286,qasigiannguit,gl,1561325770,68.82,-51.19,48.2,45,40,4.7
287,iqaluit,ca,1561325682,63.75,-68.52,51.8,57,75,23.04
288,nueve de julio,ar,1561325770,-31.67,-68.39,65.75,43,0,6.93
289,kodiak,us,1561325771,39.95,-94.76,72.0,83,90,4.7
290,huangzhai,cn,1561325772,23.86,112.01,74.65,97,100,2.1
291,hambantota,lk,1561325772,6.12,81.12,80.6,100,0,10.29
292,visby,se,1561325772,57.64,18.3,59.0,82,97,5.82
293,san andres,co,1561325772,8.22,-76.58,82.4,88,90,5.82
294,buala,sb,1561325773,-8.15,159.59,80.03,80,97,8.63
295,paamiut,gl,1561325774,61.99,-49.67,39.15,93,100,9.4
296,sao joao do piaui,br,1561325774,-8.36,-42.25,78.7,53,29,6.08
297,adrar,dz,1561325775,27.87,-0.29,95.0,6,0,5.82
298,matagami,ca,1561325775,49.76,-77.63,73.4,33,1,9.17
299,launceston,au,1561325775,-41.43,147.14,28.99,100,0,5.82
300,bom jesus da lapa,br,1561325776,-13.25,-43.41,77.76,42,0,6.31
301,alyangula,au,1561325776,-13.85,136.42,46.4,100,0,19.73
302,lixourion,gr,1561325776,38.2,20.43,75.99,78,0,6.71
303,crestview,us,1561325623,30.76,-86.57,95.0,52,1,9.17
304,brookings,us,1561325777,44.31,-96.8,70.0,68,90,8.05
305,pingdingshan,cn,1561325777,33.74,113.3,74.12,57,67,3.22
306,sabang,id,1561325778,1.17,120.82,81.14,75,56,8.79
307,bud,no,1561325778,62.91,6.91,52.0,71,75,11.41
308,hami,cn,1561325778,42.84,93.51,74.18,38,88,16.84
309,palmer,us,1561325779,61.6,-149.11,75.99,46,40,7.54
310,sao joao da barra,br,1561325779,-21.64,-41.05,73.4,88,0,6.93
311,henties bay,na,1561325779,-22.12,14.28,55.99,91,0,1.99
312,slave lake,ca,1561325783,55.28,-114.77,66.2,68,90,14.99
313,krasnyy chikoy,ru,1561325783,50.36,108.75,52.42,94,60,2.77
314,flinders,au,1561325783,-34.58,150.85,54.0,93,40,10.29
315,moroni,km,1561325784,-11.7,43.26,75.2,83,40,4.7
316,oberursel,de,1561325784,50.2,8.58,75.99,60,0,4.7
317,nyrob,ru,1561325784,60.74,56.73,55.31,62,29,6.35
318,varhaug,no,1561325784,58.61,5.65,57.2,82,0,4.7
319,matara,lk,1561325785,5.95,80.54,79.13,89,52,9.75
320,almaznyy,ru,1561325785,48.03,40.04,84.2,28,20,6.71
321,prieska,za,1561325785,-29.67,22.74,46.6,58,0,4.5
322,kortkeros,ru,1561325785,61.81,51.56,55.99,71,0,4.47
323,yulara,au,1561325785,-25.24,130.99,39.2,51,0,6.93
324,kilindoni,tz,1561325786,-7.91,39.67,79.02,77,0,10.11
325,banda aceh,id,1561325786,5.56,95.32,82.15,82,100,19.64
326,mugur-aksy,ru,1561325786,50.38,90.44,37.42,68,56,6.11
327,gamba,ga,1561325787,-2.72,10.02,72.27,87,2,5.17
328,twinsburg,us,1561325688,41.31,-81.44,82.99,33,1,1.43
329,amargosa,br,1561325576,-13.03,-39.6,67.72,85,0,7.05
330,jasper,ca,1561325791,52.88,-118.08,42.97,77,96,4.09
331,arlit,ne,1561325791,18.74,7.39,101.93,12,0,5.1
332,tamala,ru,1561325792,52.54,43.26,70.87,67,79,5.86
333,pervomayskoye,ru,1561325792,57.07,86.23,55.75,96,100,9.6
334,flin flon,ca,1561325792,54.77,-101.88,62.6,67,75,8.05
335,port-gentil,ga,1561325792,-0.72,8.78,73.4,94,20,5.82
336,leshukonskoye,ru,1561325793,64.9,45.76,41.6,94,100,6.64
337,kosh-agach,ru,1561325793,49.99,88.66,43.31,66,16,4.21
338,pangnirtung,ca,1561325794,66.15,-65.72,48.2,61,75,16.11
339,dukat,ru,1561325795,62.55,155.55,44.87,66,100,9.24
340,meulaboh,id,1561325795,4.14,96.13,81.25,76,100,7.43
341,anloga,gh,1561325795,5.79,0.9,76.97,88,83,14.41
342,kirakira,sb,1561325796,-10.46,161.92,78.75,82,82,4.76
343,damara,cf,1561325796,4.96,18.7,78.8,88,0,2.24
344,mayo,ca,1561325796,63.59,-135.9,77.0,23,75,4.7
345,ulladulla,au,1561325499,-35.36,150.48,50.0,93,40,10.29
346,shimanovsk,ru,1561325796,52.0,127.67,63.97,96,97,5.41
347,kazachinskoye,ru,1561325797,57.69,93.28,56.54,92,22,4.09
348,sarkand,kz,1561325797,45.41,79.91,54.67,84,2,5.75
349,dalen,no,1561325797,59.45,7.99,52.0,81,13,3.15
350,wenling,cn,1561325797,28.38,121.38,66.0,87,94,1.43
351,honiara,sb,1561325798,-9.43,159.96,71.6,94,75,5.41
352,sargatskoye,ru,1561325798,55.6,73.49,49.63,97,31,5.61
353,lucera,it,1561325798,41.51,15.34,75.2,78,40,3.36
